ess_deg_weight,ev_deg_weight,solver_status,objective_total,objective_recomputed,operation_cost,ess_deg_cost,ev_deg_cost,ess_throughput,ev_throughput,grid_import_energy,grid_export_energy,pv_curtail_energy
0.0,0.0,Optimal,2118.5590415624974,2118.5590415625,2118.5590415625,0.0,0.0,480.63157875,74.60826609375,4227.72968875,0.0,0.0
0.1,0.1,Optimal,2121.8270282324693,2121.8270282324734,2118.5590415625006,2.643473683125,0.6245129868473753,480.63157875,74.60826609375,4227.72968875,0.0,0.0
0.5,0.5,Optimal,2134.898974912362,2134.898974912362,2118.5590415625,13.217368415625,3.1225649342368746,480.63157875,74.60826609375,4227.72968875,0.0,0.0
1.0,1.0,Optimal,2151.23890826222,2151.2389082622244,2118.5590415625006,26.43473683125,6.245129868473749,480.63157875,74.60826609375,4227.72968875,0.0,0.0
2.0,2.0,Optimal,2183.918774961941,2183.9187749619473,2118.5590415625,52.8694736625,12.490259736947499,480.63157875,74.60826609375,4227.72968875,0.0,0.0
