scenario,weight,operation_cost,ess_deg_cost,ev_deg_cost,total_degradation_cost,ev_throughput_kwh,ev_discharge_energy_kwh,ess_throughput_kwh,ess_peak_energy_kwh,ev_peak_energy_kwh,peak_grid_purchase_kw
p2_weight_scan,0.0,38962.11295492504,0.0,0.0,0.0,1615.29978544,562.2449999999997,6728.842102499999,75.0,21.25,863.7
p2_weight_scan,0.1,38962.11295847503,37.008631563750015,13.96901165201614,50.97764321576616,1615.29978544,562.2449999999997,6728.842102499999,75.0,23.0,863.7
p2_weight_scan,0.5,38962.23993782504,184.69533235312497,69.84505826008053,254.5403906132055,1615.29978544,562.2449999999997,6716.193903749999,75.0,23.0,863.7
p2_weight_scan,1.0,38973.21927565004,369.39066470624994,124.84614749094287,494.2368121971928,1441.3765029112503,397.23499999999996,6716.193903749999,75.0,23.0,863.7
p2_weight_scan,2.0,38973.53998605003,738.7813294124999,249.07249104968574,987.8538204621856,1436.29614281125,392.41499999999996,6716.193903749999,75.0,23.0,863.7
