weight,objective_total,operation_cost,ev_discharge_energy_kwh,ev_throughput_kwh,ess_share_throughput_pct,ess_share_supply_pct,source_dir
0.0,38962.11295492475,38962.11295492504,562.2449999999997,1615.29978544,80.6415,91.9058,results\problem2_lifecycle\scans\scan_auto_weight_scan\w_0
1.0,39467.456087846964,38973.21927565004,397.23499999999996,1441.3765029112503,82.3308,94.1318,results\problem2_lifecycle\scans\scan_auto_weight_scan\w_1
2.0,39961.39380651187,38973.53998605003,392.41499999999996,1436.29614281125,82.3821,94.1988,results\problem2_lifecycle\scans\scan_auto_weight_scan\w_2
