analysis,load_scale,pv_scale,solver_status,objective_pulp,objective_recomputed,grid_import_energy_kwh,peak_P_buy_kw,pv_curtail_energy_kwh,ess_charge_energy_kwh,ess_discharge_energy_kwh
robustness_box,0.94,0.94,Optimal,6239.814440862793,6239.814440862775,9162.59542,869.298,0.0,1010.5263150000001,912.0
robustness_box,0.94,1.0,Optimal,6067.221020862787,6067.221020862775,8930.71792,869.298,0.0,1010.5263150000001,912.0
robustness_box,0.94,1.06,Optimal,5894.627600862789,5894.627600862773,8698.84042,869.298,2.433608869978343e-13,1010.5263150000001,912.0
robustness_box,1.0,0.94,Optimal,6831.077747232788,6831.0777472327745,9943.2076325,895.2,0.0,1010.5263150000001,912.0
robustness_box,1.0,1.0,Optimal,6658.484327232787,6658.484327232775,9711.3301325,895.2,0.0,1010.5263150000001,912.0
robustness_box,1.0,1.06,Optimal,6485.890907232787,6485.890907232776,9479.452632499999,895.2,2.433608869978343e-13,1010.5263150000001,912.0
robustness_box,1.06,0.94,Optimal,7422.341051904781,7422.341051904769,10723.819842500001,921.102,0.0,1010.5263150000001,912.0
robustness_box,1.06,1.0,Optimal,7249.747635304781,7249.747635304771,10491.9423475,921.102,0.0,1010.5263150000001,912.0
robustness_box,1.06,1.06,Optimal,7077.154211904786,7077.154211904773,10260.0648425,921.102,2.433608869978343e-13,1010.5263150000001,912.0
