ess_deg_weight,ev_deg_weight,solver_status,objective_total,objective_recomputed,objective_abs_gap,operation_cost,ess_deg_cost,ev_deg_cost,ess_throughput_kwh,ev_throughput_kwh,grid_import_energy_kwh,grid_export_energy_kwh,pv_curtail_energy_kwh,load_shed_energy_kwh,solve_time_seconds
0.0,0.0,Optimal,6575.992335724995,6575.992335725001,5.4569682106375694e-12,6575.992335725001,0.0,0.0,961.2631575,355.91189755625004,9713.448667499999,0.0,0.0,0.0,0.3401709999961895
0.5,0.5,Optimal,6617.439136117741,6617.439136117719,2.2737367544323206e-11,6575.992335725,26.43473683125,15.012063561468764,961.2631575,355.91189755625004,9713.4486675,0.0,0.0,0.0,0.32119170000078157
1.0,1.0,Optimal,6658.484327232787,6658.484327232775,1.1823431123048067e-11,6577.297131925,52.8694736625,28.317721645275036,961.2631575,335.24263163125,9711.330132499997,0.0,0.0,0.0,0.4036783999981708
